Year,OneYearMean,FiveYearMean,
1880,-19,0,
1881,-10,0,
1882,-08,-0.16,
1883,-19,-0.19,
1884,-26,-0.22,
1885,-30,-0.27,
1886,-29,-0.27,
1887,-32,-0.24,
1888,-19-0.25,
1889,-10,-0.24,
1890,-35,-0.22,
1891,-23,-0.24,
1892,-25,-0.28,
1893,-28,-0.25,
1894,-29,-0.23,
1895,-20,-0.20,
1896,-14,-0.20,
1897,-10,-0.17,
1898,-27,-0.15,
1899,-15,-0.15,
1900,-08,-0.18,
1901,-14,-0.20,
1902,-27,-0.25,
1903,-35,-0.29,
1904,-43,-0.31,
1905,-27,-0.33,
1906,-21,-0.35,
1907,-39,-0.35,
1908,-42,-0.38,
1909,-46,-0.43,
1910,-42,-0.42,
1911,-44,-0.40,
1912,-34,-0.34,
1913,-33,-0.27,
1914,-15,-0.25,
1915,-10,-0.26,
1916,-33,-0.24,
1917,-39,-0.26,
1918,-25,-0.29,
1919,-22,-0.26,
1920,-25,-0.24,
1921,-20,-0.23,
1922,-26,-0.24,
1923,-23,-0.23,
1924,-27,-0.21,
1925,-19,-0.19,
1926,-09,-0.19,
1927,-20,-0.20,
1928,-21,-0.19,
1929,-35,-0.19,
1930,-13,-0.18,
1931,-08,-0.20,
1932,-15,-0.15,
1933,-27,-0.16,
1934,-12,-0.17,
1935,-18,-0.14,
1936,-14,-0.09,
1937,-01,-0.07,
1938,-01,-0.02,
1939,-02,0.04,
1940,09,0.06,
1941,13,0.09,
1942,10,0.15,
1943,14,0.15,
1944,26,0.12,
1945,13,0.09,
1946,03,0.05,
1947,-04,-0.02,
1948,-09,-0.08,
1949,-09,-0.09,
1950,-18,-0.08,
1951,-07,-0.05,
1952,01,-0.05,
1953,08,-0.05,
1954,-12,-0.07,
1955,-14,-0.07,
1956,-19,-0.07,
1957,04,-0.04,
1958,06,-0.02,
1959,03,0.03,
1960,-03,0.03,
1961,05,.03,
1962,02,-0.02,
1963,06,-0.04,
1964,-21,-0.06,
1965,-10,-0.07,
1966,-05,-0.09,
1967,-03,-0.04,
1968,-07,-0.01,
1969,06,-0.02,
1970,03,-0.01,
1971,-09,0.03,
1972,01,0.00,
1973,15,-0.00,
1974,-08,-0.01,
1975,-01,0.03,
1976,-11,0.01,
1977,18,0.06,
1978,07,0.12,
1979,17,0.20,
1980,28,0.19,
1981,33,0.24,
1982,13,0.24,
1983,31,0.21,
1984,16,0.18,
1985,12,0.22,
1986,19,0.24,
1987,34,0.27,
1988,40,0.33,
1989,29,0.38,
1990,44,0.35,
1991,42,0.32,
1992,23,0.33,
1993,24,0.33,
1994,32,0.32,
1995,46,0.37,
1996,34,0.44,
1997,47,0.47,
1998,63,0.46,
1999,42,0.50,
2000,42,0.53,
2001,54,0.53,
2002,63,0.55,
2003,62,0.60,
2004,54,0.62,
2005,69,0.63,
2006,63,0.61,
2007,66,0.63,
2008,53,0.64,
2009,64,0.63,
2010,72,0.62,
2011,60,0.65,
2012,63,0.67,
2013,65,0.70,
2014,74,0,
2015,87,0,
